print_key,name,set_code,collector_number,layout,face_count,type_line_source,type_line_pl,has_rules_text,rules_translation_status,explanation_status
tla:20,Gather the White Lotus,TLA,20,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:21,Glider Kids,TLA,21,normal,1,Creature — Human Pilot Ally,Stworzenie — Człowiek Pilot Sojusznik,yes,not-started,not-started
tla:22,Glider Staff,TLA,22,normal,1,Artifact — Equipment,Artefakt — Ekwipunek,yes,not-started,not-started
tla:23,"Hakoda, Selfless Commander",TLA,23,normal,1,Legendary Creature — Human Warrior Ally,Legendarne Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:24,Invasion Reinforcements,TLA,24,normal,1,Creature — Human Warrior Ally,Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:25,Jeong Jeong's Deserters,TLA,25,normal,1,Creature — Human Rebel Ally,Stworzenie — Człowiek Buntownik Sojusznik,yes,not-started,not-started
tla:26,Kyoshi Warriors,TLA,26,normal,1,Creature — Human Warrior Ally,Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:27,The Legend of Yangchen // Avatar Yangchen,TLA,27,transform,2,Enchantment — Saga // Legendary Creature — Avatar,Urok — Saga // Legendarne Stworzenie — Avatar,yes,not-started,not-started
tla:28,Master Piandao,TLA,28,normal,1,Legendary Creature — Human Warrior Ally,Legendarne Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:29,"Momo, Friendly Flier",TLA,29,normal,1,Legendary Creature — Lemur Bat Ally,Legendarne Stworzenie — Lemur Nietoperz Sojusznik,yes,not-started,not-started
tla:30,"Momo, Playful Pet",TLA,30,normal,1,Legendary Creature — Lemur Bat Ally,Legendarne Stworzenie — Lemur Nietoperz Sojusznik,yes,not-started,not-started
tla:31,Path to Redemption,TLA,31,normal,1,Enchantment — Aura,Urok — Aura,yes,not-started,not-started
tla:32,Rabaroo Troop,TLA,32,normal,1,Creature — Rabbit Kangaroo,Stworzenie — Królik Kangur,yes,not-started,not-started
tla:33,Razor Rings,TLA,33,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:34,Sandbenders' Storm,TLA,34,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:35,South Pole Voyager,TLA,35,normal,1,Creature — Human Scout Ally,Stworzenie — Człowiek Zwiadowca Sojusznik,yes,not-started,not-started
tla:36,Southern Air Temple,TLA,36,normal,1,Legendary Enchantment — Shrine,Legendarne Urok — Sanktuarium,yes,not-started,not-started
tla:37,"Suki, Courageous Rescuer",TLA,37,normal,1,Legendary Creature — Human Warrior Ally,Legendarne Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:38,Team Avatar,TLA,38,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:39,United Front,TLA,39,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:40,Vengeful Villagers,TLA,40,normal,1,Creature — Human Citizen,Stworzenie — Człowiek Obywatel,yes,not-started,not-started
tla:41,Water Tribe Captain,TLA,41,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:42,Water Tribe Rallier,TLA,42,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:43,Yip Yip!,TLA,43,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:44,Accumulate Wisdom,TLA,44,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:45,Benevolent River Spirit,TLA,45,normal,1,Creature — Spirit,Stworzenie — Duch,yes,not-started,not-started
tla:46,Boomerang Basics,TLA,46,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:47,Crashing Wave,TLA,47,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:48,Ember Island Production,TLA,48,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:49,First-Time Flyer,TLA,49,normal,1,Creature — Human Pilot Ally,Stworzenie — Człowiek Pilot Sojusznik,yes,not-started,not-started
tla:50,Flexible Waterbender,TLA,50,normal,1,Creature — Human Warrior Ally,Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:51,Forecasting Fortune Teller,TLA,51,normal,1,Creature — Human Advisor Ally,Stworzenie — Człowiek Doradca Sojusznik,yes,not-started,not-started
tla:52,Geyser Leaper,TLA,52,normal,1,Creature — Human Warrior Ally,Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:53,Giant Koi,TLA,53,normal,1,Creature — Fish,Stworzenie — Ryba,yes,not-started,not-started
tla:54,Gran-Gran,TLA,54,normal,1,Legendary Creature — Human Peasant Ally,Legendarne Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:55,Honest Work,TLA,55,normal,1,Enchantment — Aura,Urok — Aura,yes,not-started,not-started
tla:56,Iguana Parrot,TLA,56,normal,1,Creature — Lizard Bird Pirate,Stworzenie — Jaszczurka Ptak Pirat,yes,not-started,not-started
tla:57,Invasion Submersible,TLA,57,normal,1,Artifact — Vehicle,Artefakt — Pojazd,yes,not-started,not-started
tla:58,It'll Quench Ya!,TLA,58,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:59,"Katara, Bending Prodigy",TLA,59,normal,1,Legendary Creature — Human Warrior Ally,Legendarne Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:60,Knowledge Seeker,TLA,60,normal,1,Creature — Fox Spirit,Stworzenie — Lis Duch,yes,not-started,not-started
tla:61,The Legend of Kuruk // Avatar Kuruk,TLA,61,transform,2,Enchantment — Saga // Legendary Creature — Avatar,Urok — Saga // Legendarne Stworzenie — Avatar,yes,not-started,not-started
tla:62,Lost Days,TLA,62,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:63,Master Pakku,TLA,63,normal,1,Legendary Creature — Human Advisor Ally,Legendarne Stworzenie — Człowiek Doradca Sojusznik,yes,not-started,not-started
tla:64,"The Mechanist, Aerial Artisan",TLA,64,normal,1,Legendary Creature — Human Artificer Ally,Legendarne Stworzenie — Człowiek Rzemieślnik Sojusznik,yes,not-started,not-started
tla:65,North Pole Patrol,TLA,65,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:66,Octopus Form,TLA,66,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:67,Otter-Penguin,TLA,67,normal,1,Creature — Otter Bird,Stworzenie — Wydra Ptak,yes,not-started,not-started
tla:68,Rowdy Snowballers,TLA,68,normal,1,Creature — Human Peasant Ally,Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:69,Secret of Bloodbending,TLA,69,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:70,Serpent of the Pass,TLA,70,normal,1,Creature — Serpent,Stworzenie — Wąż morski,yes,not-started,not-started
tla:71,Sokka's Haiku,TLA,71,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:72,The Spirit Oasis,TLA,72,normal,1,Legendary Enchantment — Shrine,Legendarne Urok — Sanktuarium,yes,not-started,not-started
tla:73,Spirit Water Revival,TLA,73,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:74,"Teo, Spirited Glider",TLA,74,normal,1,Legendary Creature — Human Pilot Ally,Legendarne Stworzenie — Człowiek Pilot Sojusznik,yes,not-started,not-started
tla:75,Tiger-Seal,TLA,75,normal,1,Creature — Cat Seal,Stworzenie — Kot Foka,yes,not-started,not-started
tla:76,"Ty Lee, Chi Blocker",TLA,76,normal,1,Legendary Creature — Human Performer Ally,Legendarne Stworzenie — Człowiek Artysta Sojusznik,yes,not-started,not-started
tla:77,The Unagi of Kyoshi Island,TLA,77,normal,1,Legendary Creature — Serpent,Legendarne Stworzenie — Wąż morski,yes,not-started,not-started
tla:78,"Wan Shi Tong, Librarian",TLA,78,normal,1,Legendary Creature — Bird Spirit,Legendarne Stworzenie — Ptak Duch,yes,not-started,not-started
tla:79,Waterbender Ascension,TLA,79,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:80,Waterbending Lesson,TLA,80,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:81,Waterbending Scroll,TLA,81,normal,1,Artifact,Artefakt,yes,not-started,not-started
tla:82,Watery Grasp,TLA,82,normal,1,Enchantment — Aura,Urok — Aura,yes,not-started,not-started
tla:83,"Yue, the Moon Spirit",TLA,83,normal,1,Legendary Creature — Spirit Ally,Legendarne Stworzenie — Duch Sojusznik,yes,not-started,not-started
tla:84,Azula Always Lies,TLA,84,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:85,"Azula, On the Hunt",TLA,85,normal,1,Legendary Creature — Human Noble,Legendarne Stworzenie — Człowiek Szlachcic,yes,not-started,not-started
tla:86,Beetle-Headed Merchants,TLA,86,normal,1,Creature — Human Citizen,Stworzenie — Człowiek Obywatel,yes,not-started,not-started
tla:87,Boiling Rock Rioter,TLA,87,normal,1,Creature — Human Rogue Ally,Stworzenie — Człowiek Łotr Sojusznik,yes,not-started,not-started
tla:88,Buzzard-Wasp Colony,TLA,88,normal,1,Creature — Bird Insect,Stworzenie — Ptak Owad,yes,not-started,not-started
tla:89,Callous Inspector,TLA,89,normal,1,Creature — Human Soldier,Stworzenie — Człowiek Żołnierz,yes,not-started,not-started
tla:90,Canyon Crawler,TLA,90,normal,1,Creature — Spider Beast,Stworzenie — Pająk Bestia,yes,not-started,not-started
tla:91,Cat-Gator,TLA,91,normal,1,Creature — Fish Crocodile,Stworzenie — Ryba Krokodyl,yes,not-started,not-started
tla:92,Corrupt Court Official,TLA,92,normal,1,Creature — Human Advisor,Stworzenie — Człowiek Doradca,yes,not-started,not-started
tla:93,Dai Li Indoctrination,TLA,93,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:94,Day of Black Sun,TLA,94,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:95,Deadly Precision,TLA,95,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:96,Epic Downfall,TLA,96,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:97,Fatal Fissure,TLA,97,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:98,The Fire Nation Drill,TLA,98,normal,1,Legendary Artifact — Vehicle,Legendarne Artefakt — Pojazd,yes,not-started,not-started
tla:99,Fire Nation Engineer,TLA,99,normal,1,Creature — Human Artificer,Stworzenie — Człowiek Rzemieślnik,yes,not-started,not-started
tla:100,Fire Navy Trebuchet,TLA,100,normal,1,Artifact Creature — Wall,Artefakt Stworzenie — Ściana,yes,not-started,not-started
tla:101,Foggy Swamp Hunters,TLA,101,normal,1,Creature — Human Ranger Ally,Stworzenie — Człowiek Łowca Sojusznik,yes,not-started,not-started
tla:102,Foggy Swamp Visions,TLA,102,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:103,Heartless Act,TLA,103,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:104,Hog-Monkey,TLA,104,normal,1,Creature — Boar Monkey,Stworzenie — Dzik Małpa,yes,not-started,not-started
tla:105,"Joo Dee, One of Many",TLA,105,normal,1,Creature — Human Advisor,Stworzenie — Człowiek Doradca,yes,not-started,not-started
tla:106,"June, Bounty Hunter",TLA,106,normal,1,Legendary Creature — Human Mercenary,Legendarne Stworzenie — Człowiek Najemnik,yes,not-started,not-started
tla:107,"Koh, the Face Stealer",TLA,107,normal,1,Legendary Creature — Shapeshifter Spirit,Legendarne Stworzenie — Zmiennokształtny Duch,yes,not-started,not-started
tla:108,"Lo and Li, Twin Tutors",TLA,108,normal,1,Legendary Creature — Human Advisor,Legendarne Stworzenie — Człowiek Doradca,yes,not-started,not-started
tla:109,"Mai, Scornful Striker",TLA,109,normal,1,Legendary Creature — Human Noble Ally,Legendarne Stworzenie — Człowiek Szlachcic Sojusznik,yes,not-started,not-started
tla:110,Merchant of Many Hats,TLA,110,normal,1,Creature — Human Peasant Ally,Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:111,Northern Air Temple,TLA,111,normal,1,Legendary Enchantment — Shrine,Legendarne Urok — Sanktuarium,yes,not-started,not-started
tla:112,Obsessive Pursuit,TLA,112,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:113,Ozai's Cruelty,TLA,113,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:114,Phoenix Fleet Airship,TLA,114,normal,1,Artifact — Vehicle,Artefakt — Pojazd,yes,not-started,not-started
tla:115,Pirate Peddlers,TLA,115,normal,1,Creature — Human Pirate,Stworzenie — Człowiek Pirat,yes,not-started,not-started
tla:116,Raven Eagle,TLA,116,normal,1,Creature — Bird Assassin,Stworzenie — Ptak Zabójca,yes,not-started,not-started
tla:117,The Rise of Sozin // Fire Lord Sozin,TLA,117,transform,2,Enchantment — Saga // Legendary Creature — Human Noble,Urok — Saga // Legendarne Stworzenie — Człowiek Szlachcic,yes,not-started,not-started
tla:118,Ruinous Waterbending,TLA,118,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:119,Sold Out,TLA,119,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:120,Swampsnare Trap,TLA,120,normal,1,Enchantment — Aura,Urok — Aura,yes,not-started,not-started
tla:121,Tundra Tank,TLA,121,normal,1,Artifact — Vehicle,Artefakt — Pojazd,yes,not-started,not-started
tla:122,Wolfbat,TLA,122,normal,1,Creature — Wolf Bat,Stworzenie — Wilk Nietoperz,yes,not-started,not-started
tla:123,Zuko's Conviction,TLA,123,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:124,Boar-q-pine,TLA,124,normal,1,Creature — Boar Porcupine,Stworzenie — Dzik Jeżozwierz,yes,not-started,not-started
tla:125,Bumi Bash,TLA,125,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:126,The Cave of Two Lovers,TLA,126,saga,1,Enchantment — Saga,Urok — Saga,yes,not-started,not-started
tla:127,Combustion Man,TLA,127,normal,1,Legendary Creature — Human Assassin,Legendarne Stworzenie — Człowiek Zabójca,yes,not-started,not-started
tla:128,Combustion Technique,TLA,128,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:129,Crescent Island Temple,TLA,129,normal,1,Legendary Enchantment — Shrine,Legendarne Urok — Sanktuarium,yes,not-started,not-started
tla:130,Cunning Maneuver,TLA,130,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:131,Deserter's Disciple,TLA,131,normal,1,Creature — Human Rebel Ally,Stworzenie — Człowiek Buntownik Sojusznik,yes,not-started,not-started
tla:132,Fated Firepower,TLA,132,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:133,Fire Nation Attacks,TLA,133,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:134,Fire Nation Cadets,TLA,134,normal,1,Creature — Human Soldier,Stworzenie — Człowiek Żołnierz,yes,not-started,not-started
tla:135,Fire Nation Raider,TLA,135,normal,1,Creature — Human Soldier,Stworzenie — Człowiek Żołnierz,yes,not-started,not-started
tla:136,Fire Sages,TLA,136,normal,1,Creature — Human Cleric,Stworzenie — Człowiek Kleryk,yes,not-started,not-started
tla:137,Firebender Ascension,TLA,137,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:138,Firebending Lesson,TLA,138,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:139,Firebending Student,TLA,139,normal,1,Creature — Human Monk,Stworzenie — Człowiek Mnich,yes,not-started,not-started
tla:140,How to Start a Riot,TLA,140,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:141,Iroh's Demonstration,TLA,141,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:142,"Jeong Jeong, the Deserter",TLA,142,normal,1,Legendary Creature — Human Rebel Ally,Legendarne Stworzenie — Człowiek Buntownik Sojusznik,yes,not-started,not-started
tla:143,Jet's Brainwashing,TLA,143,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:144,The Last Agni Kai,TLA,144,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:145,The Legend of Roku // Avatar Roku,TLA,145,transform,2,Enchantment — Saga // Legendary Creature — Avatar,Urok — Saga // Legendarne Stworzenie — Avatar,yes,not-started,not-started
tla:146,Lightning Strike,TLA,146,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:147,"Mai, Jaded Edge",TLA,147,normal,1,Legendary Creature — Human Noble,Legendarne Stworzenie — Człowiek Szlachcic,yes,not-started,not-started
tla:148,Mongoose Lizard,TLA,148,normal,1,Creature — Mongoose Lizard,Stworzenie — Mangusta Jaszczurka,yes,not-started,not-started
tla:149,Price of Freedom,TLA,149,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:150,Ran and Shaw,TLA,150,normal,1,Legendary Creature — Dragon,Legendarne Stworzenie — Smok,yes,not-started,not-started
tla:151,Redirect Lightning,TLA,151,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:152,Rough Rhino Cavalry,TLA,152,normal,1,Creature — Human Mercenary,Stworzenie — Człowiek Najemnik,yes,not-started,not-started
tla:153,Solstice Revelations,TLA,153,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:154,Sozin's Comet,TLA,154,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:155,Tiger-Dillo,TLA,155,normal,1,Creature — Cat Armadillo,Stworzenie — Kot Pancernik,yes,not-started,not-started
tla:156,Treetop Freedom Fighters,TLA,156,normal,1,Creature — Human Rebel Ally,Stworzenie — Człowiek Buntownik Sojusznik,yes,not-started,not-started
tla:157,Twin Blades,TLA,157,normal,1,Artifact — Equipment,Artefakt — Ekwipunek,yes,not-started,not-started
tla:158,"Ty Lee, Artful Acrobat",TLA,158,normal,1,Legendary Creature — Human Performer,Legendarne Stworzenie — Człowiek Artysta,yes,not-started,not-started
tla:159,War Balloon,TLA,159,normal,1,Artifact — Vehicle,Artefakt — Pojazd,yes,not-started,not-started
tla:160,Wartime Protestors,TLA,160,normal,1,Creature — Human Rebel Ally,Stworzenie — Człowiek Buntownik Sojusznik,yes,not-started,not-started
tla:161,Yuyan Archers,TLA,161,normal,1,Creature — Human Archer,Stworzenie — Człowiek Łucznik,yes,not-started,not-started
tla:162,"Zhao, the Moon Slayer",TLA,162,normal,1,Legendary Creature — Human Soldier,Legendarne Stworzenie — Człowiek Żołnierz,yes,not-started,not-started
tla:163,"Zuko, Exiled Prince",TLA,163,normal,1,Legendary Creature — Human Noble,Legendarne Stworzenie — Człowiek Szlachcic,yes,not-started,not-started
tla:164,Allies at Last,TLA,164,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:165,Avatar Destiny,TLA,165,normal,1,Enchantment — Aura,Urok — Aura,yes,not-started,not-started
tla:166,Badgermole,TLA,166,normal,1,Creature — Badger Mole,Stworzenie — Borsuk Kret,yes,not-started,not-started
tla:167,Badgermole Cub,TLA,167,normal,1,Creature — Badger Mole,Stworzenie — Borsuk Kret,yes,not-started,not-started
tla:168,"The Boulder, Ready to Rumble",TLA,168,normal,1,Legendary Creature — Human Warrior Performer,Legendarne Stworzenie — Człowiek Wojownik Artysta,yes,not-started,not-started
tla:169,"Bumi, King of Three Trials",TLA,169,normal,1,Legendary Creature — Human Noble Ally,Legendarne Stworzenie — Człowiek Szlachcic Sojusznik,yes,not-started,not-started
tla:170,Cycle of Renewal,TLA,170,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:171,Diligent Zookeeper,TLA,171,normal,1,Creature — Human Citizen Ally,Stworzenie — Człowiek Obywatel Sojusznik,yes,not-started,not-started
tla:172,The Earth King,TLA,172,normal,1,Legendary Creature — Human Noble Ally,Legendarne Stworzenie — Człowiek Szlachcic Sojusznik,yes,not-started,not-started
tla:173,Earth Kingdom General,TLA,173,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:174,Earth Rumble,TLA,174,normal,1,Sorcery,Rytuał,yes,not-started,not-started
tla:175,Earthbender Ascension,TLA,175,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:176,Earthbending Lesson,TLA,176,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:177,Earthen Ally,TLA,177,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:178,Elemental Teachings,TLA,178,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:179,"Flopsie, Bumi's Buddy",TLA,179,normal,1,Legendary Creature — Ape Goat,Legendarne Stworzenie — Małpa Koza,yes,not-started,not-started
tla:180,Foggy Swamp Vinebender,TLA,180,normal,1,Creature — Human Plant Ally,Stworzenie — Człowiek Roślina Sojusznik,yes,not-started,not-started
tla:181,Great Divide Guide,TLA,181,normal,1,Creature — Human Scout Ally,Stworzenie — Człowiek Zwiadowca Sojusznik,yes,not-started,not-started
tla:182,"Haru, Hidden Talent",TLA,182,normal,1,Legendary Creature — Human Peasant Ally,Legendarne Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:183,Invasion Tactics,TLA,183,normal,1,Enchantment,Urok,yes,not-started,not-started
tla:184,Kyoshi Island Plaza,TLA,184,normal,1,Legendary Enchantment — Shrine,Legendarne Urok — Sanktuarium,yes,not-started,not-started
tla:185,Leaves from the Vine,TLA,185,normal,1,Enchantment — Saga,Urok — Saga,yes,not-started,not-started
tla:186,The Legend of Kyoshi // Avatar Kyoshi,TLA,186,transform,2,Enchantment — Saga // Legendary Creature — Avatar,Urok — Saga // Legendarne Stworzenie — Avatar,yes,not-started,not-started
tla:187,Origin of Metalbending,TLA,187,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:188,Ostrich-Horse,TLA,188,normal,1,Creature — Bird Horse,Stworzenie — Ptak Koń,yes,not-started,not-started
tla:189,Pillar Launch,TLA,189,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:190,Raucous Audience,TLA,190,normal,1,Creature — Human Citizen,Stworzenie — Człowiek Obywatel,yes,not-started,not-started
tla:191,Rebellious Captives,TLA,191,normal,1,Creature — Human Peasant Ally,Stworzenie — Człowiek Chłop Sojusznik,yes,not-started,not-started
tla:192,Rockalanche,TLA,192,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:193,Rocky Rebuke,TLA,193,normal,1,Instant,Czar natychmiastowy,yes,not-started,not-started
tla:194,Saber-Tooth Moose-Lion,TLA,194,normal,1,Creature — Elk Cat,Stworzenie — Jeleń Kot,yes,not-started,not-started
tla:195,Seismic Sense,TLA,195,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:196,Shared Roots,TLA,196,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:197,Sparring Dummy,TLA,197,normal,1,Artifact Creature — Scarecrow,Artefakt Stworzenie — Strach na wróble,yes,not-started,not-started
tla:198,"Toph, the Blind Bandit",TLA,198,normal,1,Legendary Creature — Human Warrior Ally,Legendarne Stworzenie — Człowiek Wojownik Sojusznik,yes,not-started,not-started
tla:199,True Ancestry,TLA,199,normal,1,Sorcery — Lesson,Rytuał — Lekcja,yes,not-started,not-started
tla:200,Turtle-Duck,TLA,200,normal,1,Creature — Turtle Bird,Stworzenie — Żółw Ptak,yes,not-started,not-started
tla:201,Unlucky Cabbage Merchant,TLA,201,normal,1,Creature — Human Citizen,Stworzenie — Człowiek Obywatel,yes,not-started,not-started
tla:202,Walltop Sentries,TLA,202,normal,1,Creature — Human Soldier Ally,Stworzenie — Człowiek Żołnierz Sojusznik,yes,not-started,not-started
tla:203,"Aang, at the Crossroads // Aang, Destined Savior",TLA,203,transform,2,Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally,Legendarne Stworzenie — Człowiek Avatar Sojusznik // Legendarne Stworzenie — Avatar Sojusznik,yes,not-started,not-started
tla:204,"Aang, Swift Savior // Aang and La, Ocean's Fury",TLA,204,transform,2,Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Spirit Ally,Legendarne Stworzenie — Człowiek Avatar Sojusznik // Legendarne Stworzenie — Avatar Duch Sojusznik,yes,not-started,not-started
tla:205,Abandon Attachments,TLA,205,normal,1,Instant — Lesson,Czar natychmiastowy — Lekcja,yes,not-started,not-started
tla:206,Air Nomad Legacy,TLA,206,normal,1,Enchantment,Urok,yes,not-started,not-started
