printKey,cardName,faceIndex,faceName,layout,typeLineSource,rulesTextSource,status,priority,notes
tle:9,Agent of Treachery,0,Agent of Treachery,normal,Creature — Human Rogue,"When this creature enters, gain control of target permanent.
At the beginning of your end step, if you control three or more permanents you don't own, draw three cards.",todo,normal,
tla:264,Agna Qel'a,0,Agna Qel'a,normal,Land,"This land enters tapped unless you control a basic land.
{T}: Add {U}.
{2}{U}, {T}: Draw a card, then discard a card.",todo,normal,
tla:206,Air Nomad Legacy,0,Air Nomad Legacy,normal,Enchantment,"When this enchantment enters, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Creatures you control with flying get +1/+1.",todo,normal,
tle:75,Air Nomad Student,0,Air Nomad Student,normal,Creature — Human Monk,"Flying
At the beginning of your end step, if this creature didn't attack this turn, put a +1/+1 counter on it.",todo,normal,
tla:6,Airbender Ascension,0,Airbender Ascension,normal,Enchantment,"When this enchantment enters, airbend up to one target creature.
Whenever a creature you control enters, put a quest counter on this enchantment.
At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.",todo,normal,
tla:7,Airbender's Reversal,0,Airbender's Reversal,normal,Instant — Lesson,"Choose one —
• Destroy target attacking creature.
• Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",todo,normal,
tla:8,Airbending Lesson,0,Airbending Lesson,normal,Instant — Lesson,"Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Draw a card.",todo,normal,
tla:265,Airship Engine Room,0,Airship Engine Room,normal,Land,"This land enters tapped.
{T}: Add {U} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",todo,normal,
tle:213,Allied Teamwork,0,Allied Teamwork,normal,Enchantment,"When this enchantment enters, create a 1/1 white Ally creature token.
Allies you control get +1/+1.",todo,normal,
tla:164,Allies at Last,0,Allies at Last,normal,Instant,"Affinity for Allies (This spell costs {1} less to cast for each Ally you control.)
Up to two target creatures you control each deal damage equal to their power to target creature an opponent controls.",todo,normal,
tle:128,Animal Attendant,0,Animal Attendant,normal,Creature — Human Citizen,"{T}: Add one mana of any color. If that mana is spent to cast a non-Human creature spell, that creature enters with an additional +1/+1 counter on it.",todo,normal,
tle:214,"Appa, Aang's Companion",0,"Appa, Aang's Companion",normal,Legendary Creature — Bison Ally,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Appa attacks, another target attacking creature without flying gains flying until end of turn.",todo,normal,
tla:9,"Appa, Loyal Sky Bison",0,"Appa, Loyal Sky Bison",normal,Legendary Creature — Bison Ally,"Flying
Whenever Appa enters or attacks, choose one —
• Target creature you control gains flying until end of turn.
• Airbend another target nonland permanent you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",todo,normal,
tla:10,"Appa, Steadfast Guardian",0,"Appa, Steadfast Guardian",normal,Legendary Creature — Bison Ally,"Flash
Flying
When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a spell from exile, create a 1/1 white Ally creature token.",todo,normal,
tle:62,"Appa, the Vigilant",0,"Appa, the Vigilant",normal,Legendary Creature — Bison Ally,"Flying, vigilance
Whenever Appa or another Ally you control enters, creatures you control get +1/+1 and gain flying and vigilance until end of turn.",todo,normal,
tle:315,Arcane Signet,0,Arcane Signet,normal,Artifact,{T}: Add one mana of any color in your commander's color identity.,todo,normal,
tla:207,"Avatar Aang // Aang, Master of Elements",0,Avatar Aang,transform,Legendary Creature — Human Avatar Ally,"Flying, firebending 2
Whenever you waterbend, earthbend, firebend, or airbend, draw a card. Then if you've done all four this turn, transform Avatar Aang.",todo,normal,
tla:207,"Avatar Aang // Aang, Master of Elements",1,"Aang, Master of Elements",transform,Legendary Creature — Avatar Ally,"Flying
Spells you cast cost {W}{U}{B}{R}{G} less to cast. (This can reduce generic costs.)
At the beginning of each upkeep, you may transform Aang, Master of Elements. If you do, you gain 4 life, draw four cards, put four +1/+1 counters on him, and he deals 4 damage to each opponent.",todo,normal,
tla:165,Avatar Destiny,0,Avatar Destiny,normal,Enchantment — Aura,"Enchant creature you control
Enchanted creature gets +1/+1 for each creature card in your graveyard and is an Avatar in addition to its other types.
When enchanted creature dies, mill cards equal to its power. Return this card to its owner's hand and up to one creature card milled this way to the battlefield under your control.",todo,normal,
tla:11,Avatar Enthusiasts,0,Avatar Enthusiasts,normal,Creature — Human Peasant Ally,"Whenever another Ally you control enters, put a +1/+1 counter on this creature.",todo,normal,
tle:130,"Avatar Kyoshi, Earthbender",0,"Avatar Kyoshi, Earthbender",normal,Legendary Creature — Human Avatar,"During your turn, Avatar Kyoshi has hexproof.
At the beginning of combat on your turn, earthbend 8, then untap that land. (Target land you control becomes a 0/0 creature with haste that's still a land. Put eight +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:112,"Avatar Roku, Firebender",0,"Avatar Roku, Firebender",normal,Legendary Creature — Human Avatar,"Whenever a player attacks, add six {R}. Until end of combat, you don't lose this mana as steps end.
{R}{R}{R}: Target creature gets +3/+0 until end of turn.",todo,normal,
tla:12,Avatar's Wrath,0,Avatar's Wrath,normal,Sorcery,"Choose up to one target creature, then airbend all other creatures. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Until your next turn, your opponents can't cast spells from anywhere other than their hands.
Exile Avatar's Wrath.",todo,normal,
tla:84,Azula Always Lies,0,Azula Always Lies,normal,Instant — Lesson,"Choose one or both —
• Target creature gets -1/-1 until end of turn.
• Put a +1/+1 counter on target creature.",todo,normal,
tla:208,"Azula, Cunning Usurper",0,"Azula, Cunning Usurper",normal,Legendary Creature — Human Noble Rogue,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
When Azula enters, target opponent exiles a nontoken creature they control, then they exile a nonland card from their graveyard.
During your turn, you may cast cards exiled with Azula and you may cast them as though they had flash. Mana of any type can be spent to cast those spells.",todo,normal,
tla:85,"Azula, On the Hunt",0,"Azula, On the Hunt",normal,Legendary Creature — Human Noble,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
Whenever Azula attacks, you lose 1 life and create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",todo,normal,
tle:101,"Azula, Ruthless Firebender",0,"Azula, Ruthless Firebender",normal,Legendary Creature — Human Noble,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
Whenever Azula attacks, you may discard a card. Then you get an experience counter for each player who discarded a card this turn.
{2}{B}: Until end of turn, Azula gets +1/+1 for each experience counter you have and gains menace.",todo,normal,
tla:266,Ba Sing Se,0,Ba Sing Se,normal,Land,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:89,Baboon Spirit,0,Baboon Spirit,normal,Creature — Monkey Spirit,"Whenever another nontoken Spirit you control enters, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""
{3}{U}: Exile another target creature you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",todo,normal,
tla:166,Badgermole,0,Badgermole,normal,Creature — Badger Mole,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Creatures you control with +1/+1 counters on them have trample.",todo,normal,
tla:167,Badgermole Cub,0,Badgermole Cub,normal,Creature — Badger Mole,"When this creature enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you tap a creature for mana, add an additional {G}.",todo,normal,
tla:254,Barrels of Blasting Jelly,0,Barrels of Blasting Jelly,normal,Artifact,"{1}: Add one mana of any color. Activate only once each turn.
{5}, {T}, Sacrifice this artifact: It deals 5 damage to target creature.",todo,normal,
tle:160,Bastion of Remembrance,0,Bastion of Remembrance,normal,Enchantment,"When this enchantment enters, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",todo,normal,
tle:39,Beastmaster Ascension,0,Beastmaster Ascension,normal,Enchantment,"Whenever a creature you control attacks, you may put a quest counter on this enchantment.
As long as this enchantment has seven or more quest counters on it, creatures you control get +5/+5.",todo,normal,
tla:86,Beetle-Headed Merchants,0,Beetle-Headed Merchants,normal,Creature — Human Citizen,"Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, draw a card and put a +1/+1 counter on this creature.",todo,normal,
tla:209,Beifong's Bounty Hunters,0,Beifong's Bounty Hunters,normal,Creature — Human Mercenary,"Whenever a nonland creature you control dies, earthbend X, where X is that creature's power. (Target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:255,Bender's Waterskin,0,Bender's Waterskin,normal,Artifact,"Untap this artifact during each other player's untap step.
{T}: Add one mana of any color.",todo,normal,
tla:45,Benevolent River Spirit,0,Benevolent River Spirit,normal,Creature — Spirit,"As an additional cost to cast this spell, waterbend {5}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Flying, ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, scry 2.",todo,normal,
tle:131,Bison Whistle,0,Bison Whistle,normal,Artifact,"{1}, {T}: Look at the top card of your library. If it's a Bison card, you may put it onto the battlefield. If it's a creature card, you may reveal it and put it into your hand. Otherwise, you may put it into your graveyard.",todo,normal,
tla:210,Bitter Work,0,Bitter Work,normal,Enchantment,"Whenever you attack a player with one or more creatures with power 4 or greater, draw a card.
Exhaust — {4}: Earthbend 4. Activate only during your turn. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped. Activate each exhaust ability only once.)",todo,normal,
tle:22,Black Sun's Zenith,0,Black Sun's Zenith,normal,Sorcery,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,todo,normal,
tle:26,Blasphemous Act,0,Blasphemous Act,normal,Sorcery,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",todo,normal,
tle:23,Bloodchief Ascension,0,Bloodchief Ascension,normal,Enchantment,"At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on this enchantment. (Damage causes loss of life.)
Whenever a card is put into an opponent's graveyard from anywhere, if this enchantment has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life.",todo,normal,
tla:124,Boar-q-pine,0,Boar-q-pine,normal,Creature — Boar Porcupine,"Whenever you cast a noncreature spell, put a +1/+1 counter on this creature.",todo,normal,
tla:267,Boiling Rock Prison,0,Boiling Rock Prison,normal,Land,"This land enters tapped.
{T}: Add {B} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",todo,normal,
tla:87,Boiling Rock Rioter,0,Boiling Rock Rioter,normal,Creature — Human Rogue Ally,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
Tap an untapped Ally you control: Exile target card from a graveyard.
Whenever this creature attacks, you may cast an Ally spell from among cards you own exiled with this creature.",todo,normal,
tle:163,Bolt Bend,0,Bolt Bend,normal,Instant,"This spell costs {3} less to cast if you control a creature with power 4 or greater.
Change the target of target spell or ability with a single target.",todo,normal,
tla:46,Boomerang Basics,0,Boomerang Basics,normal,Sorcery — Lesson,"Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card.",todo,normal,
tle:132,"Bosco, Just a Bear",0,"Bosco, Just a Bear",normal,Legendary Creature — Bear,"When Bosco enters, create a Food token for each legendary creature you control. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}{G}, Sacrifice a Food: Put two +1/+1 counters on Bosco. He gains trample until end of turn.",todo,normal,
tle:155,Brainstorm,0,Brainstorm,normal,Instant,"Draw three cards, then put two cards from your hand on top of your library in any order.",todo,normal,
tle:10,Bribery,0,Bribery,normal,Sorcery,Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.,todo,normal,
tle:1,Brought Back,0,Brought Back,normal,Instant,Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.,todo,normal,
tla:125,Bumi Bash,0,Bumi Bash,normal,Sorcery,"Choose one —
• Bumi Bash deals damage equal to the number of lands you control to target creature.
• Destroy target land creature or nonbasic land.",todo,normal,
tle:133,Bumi's Feast Lecture,0,Bumi's Feast Lecture,normal,Sorcery — Lesson,"Create a Food token. Then earthbend X, where X is twice the number of Foods you control. (A Food token is an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."" To earthbend X, target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:248,"Bumi, Eclectic Earthbender",0,"Bumi, Eclectic Earthbender",normal,Legendary Creature — Human Noble Ally,"When Bumi enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever Bumi attacks, put two +1/+1 counters on each land creature you control.",todo,normal,
tla:169,"Bumi, King of Three Trials",0,"Bumi, King of Three Trials",normal,Legendary Creature — Human Noble Ally,"When Bumi enters, choose up to X, where X is the number of Lesson cards in your graveyard —
• Put three +1/+1 counters on Bumi.
• Target player scries 3.
• Earthbend 3. (Target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:211,"Bumi, Unleashed",0,"Bumi, Unleashed",normal,Legendary Creature — Human Noble Ally,"Trample
When Bumi enters, earthbend 4.
Whenever Bumi deals combat damage to a player, untap all lands you control. After this phase, there is an additional combat phase. Only land creatures can attack during that combat phase.",todo,normal,
tla:88,Buzzard-Wasp Colony,0,Buzzard-Wasp Colony,normal,Creature — Bird Insect,"Flying
When this creature enters, you may sacrifice an artifact or creature. If you do, draw a card.
Whenever another creature you control dies, if it had counters on it, put its counters on this creature.",todo,normal,
tla:89,Callous Inspector,0,Callous Inspector,normal,Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature dies, it deals 1 damage to you. Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",todo,normal,
tla:90,Canyon Crawler,0,Canyon Crawler,normal,Creature — Spider Beast,"Deathtouch
When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",todo,normal,
tle:47,Captain Sisay,0,Captain Sisay,normal,Legendary Creature — Human Soldier,"{T}: Search your library for a legendary card, reveal that card, put it into your hand, then shuffle.",todo,normal,
tla:91,Cat-Gator,0,Cat-Gator,normal,Creature — Fish Crocodile,"Lifelink
When this creature enters, it deals damage equal to the number of Swamps you control to any target.",todo,normal,
tla:212,Cat-Owl,0,Cat-Owl,normal,Creature — Cat Bird,"Flying
Whenever this creature attacks, untap target artifact or creature.",todo,normal,
tle:164,Cathartic Reunion,0,Cathartic Reunion,normal,Sorcery,"As an additional cost to cast this spell, discard two cards.
Draw three cards.",todo,normal,
tle:91,Chakra Meditation,0,Chakra Meditation,normal,Enchantment,"When this enchantment enters, return up to one target instant or sorcery card from your graveyard to your hand.
Whenever you cast an instant or sorcery spell, draw a card. Then discard a card unless there are three or more Lesson cards in your graveyard.",todo,normal,
tle:113,"Chong and Lily, Nomads",0,"Chong and Lily, Nomads",normal,Legendary Creature — Human Bard Ally,"Whenever one or more Bards you control attack, choose one —
• Put a lore counter on each of any number of target Sagas you control.
• Creatures you control get +1/+0 until end of turn for each lore counter among Sagas you control.",todo,normal,
tle:53,Cityscape Leveler,0,Cityscape Leveler,normal,Artifact Creature — Construct,"Trample
When you cast this spell and whenever this creature attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.
Unearth {8}",todo,normal,
tle:11,Clone,0,Clone,normal,Creature — Shapeshifter,You may have this creature enter as a copy of any creature on the battlefield.,todo,normal,
tle:12,Clone Legion,0,Clone Legion,normal,Sorcery,"For each creature target player controls, create a token that's a copy of that creature.",todo,normal,
tle:152,Cloudshift,0,Cloudshift,normal,Instant,"Exile target creature you control, then return that card to the battlefield under your control.",todo,normal,
tle:156,Coastal Piracy,0,Coastal Piracy,normal,Enchantment,"Whenever a creature you control deals combat damage to an opponent, you may draw a card.",todo,normal,
tla:127,Combustion Man,0,Combustion Man,normal,Legendary Creature — Human Assassin,"Whenever Combustion Man attacks, destroy target permanent unless its controller has Combustion Man deal damage to them equal to his power.",todo,normal,
tla:128,Combustion Technique,0,Combustion Technique,normal,Instant — Lesson,"Combustion Technique deals damage equal to 2 plus the number of Lesson cards in your graveyard to target creature. If that creature would die this turn, exile it instead.",todo,normal,
tla:13,Compassionate Healer,0,Compassionate Healer,normal,Creature — Human Cleric Ally,"Whenever this creature becomes tapped, you gain 1 life and scry 1. (Look at the top card of your library. You may put it on the bottom.)",todo,normal,
tle:157,Consider,0,Consider,normal,Instant,"Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Draw a card.",todo,normal,
tla:92,Corrupt Court Official,0,Corrupt Court Official,normal,Creature — Human Advisor,"When this creature enters, target opponent discards a card.",todo,normal,
tle:135,Cracked Earth Technique,0,Cracked Earth Technique,normal,Sorcery — Lesson,"Earthbend 3, then earthbend 3. You gain 3 life. (To earthbend 3, target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:47,Crashing Wave,0,Crashing Wave,normal,Sorcery,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Tap up to X target creatures, then distribute three stun counters among any number of tapped creatures your opponents control. (If a permanent with a stun counter would become untapped, remove one from it instead.)",todo,normal,
tle:136,Creeping Crystal Coating,0,Creeping Crystal Coating,normal,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +0/+3 and has ""Whenever this creature attacks, create a Food token."" (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",todo,normal,
tla:129,Crescent Island Temple,0,Crescent Island Temple,normal,Legendary Enchantment — Shrine,"When Crescent Island Temple enters, for each Shrine you control, create a 1/1 red Monk creature token with prowess. (Whenever you cast a noncreature spell, it gets +1/+1 until end of turn.)
Whenever another Shrine you control enters, create a 1/1 red Monk creature token with prowess.",todo,normal,
tla:213,Cruel Administrator,0,Cruel Administrator,normal,Creature — Human Soldier,"Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.
Whenever this creature attacks, create a 2/2 red Soldier creature token with firebending 1. (Whenever it attacks, add {R}. This mana lasts until end of combat.)",todo,normal,
tle:24,Cruel Tutor,0,Cruel Tutor,normal,Sorcery,"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",todo,normal,
tle:137,Crystalline Armor,0,Crystalline Armor,normal,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each land you control and has trample.",todo,normal,
tla:130,Cunning Maneuver,0,Cunning Maneuver,normal,Instant,"Target creature gets +3/+1 until end of turn.
Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",todo,normal,
tla:14,Curious Farm Animals,0,Curious Farm Animals,normal,Creature — Boar Elk Bird Ox,"When this creature dies, you gain 3 life.
{2}, Sacrifice this creature: Destroy up to one target artifact or enchantment.",todo,normal,
tla:170,Cycle of Renewal,0,Cycle of Renewal,normal,Instant — Lesson,"Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",todo,normal,
tla:214,Dai Li Agents,0,Dai Li Agents,normal,Creature — Human Soldier,"When this creature enters, earthbend 1, then earthbend 1. (To earthbend 1, target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever this creature attacks, each opponent loses X life and you gain X life, where X is the number of creatures you control with +1/+1 counters on them.",todo,normal,
tle:102,Dai Li Censor,0,Dai Li Censor,normal,Creature — Human Soldier Advisor,"{1}, Sacrifice another creature: This creature gets +2/+2 until end of turn. Activate only once each turn.",todo,normal,
tla:93,Dai Li Indoctrination,0,Dai Li Indoctrination,normal,Sorcery — Lesson,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:161,Dark Deal,0,Dark Deal,normal,Sorcery,"Each player discards all the cards in their hand, then draws that many cards minus one.",todo,normal,
tle:56,Dark Depths,0,Dark Depths,normal,Legendary Snow Land,"Dark Depths enters with ten ice counters on it.
{3}: Remove an ice counter from Dark Depths.
When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.",todo,normal,
