term_id,english_term,polish_term,used_in_quick_start,quick_start_steps,source_pages,status
sacrifice,Sacrifice,Poświęcić,no,,12,ready
scry,Scry,Wróżenie,no,,12,ready
shuffle,Shuffle,Tasować,yes,zuko-step-001,7,ready
sorcery,Sorcery,Rytuał,yes,zuko-step-032,5,ready
spell,Spell,Czar,no,,9,ready
stack,Stack,Stos,no,,9|10,ready
summoning-sickness,Summoning sickness,Choroba przywołania,yes,zuko-step-011|zuko-step-023|zuko-step-055,4,ready
surveil,Surveil,Obserwacja,no,,13,ready
swampcycling,Swampcycling,Cykling Bagna,no,,13,ready
tap,Tap,Tapowanie,yes,zuko-step-007|zuko-step-010|zuko-step-014|zuko-step-015|zuko-step-017|zuko-step-023|zuko-step-024|zuko-step-064,5|9,ready
target,Target,Wskazany cel,yes,zuko-step-032,9,ready
text-box,Text box,Pole tekstowe,no,,3,ready
token,Token,Żeton,yes,zuko-step-002|zuko-step-047|zuko-step-054|zuko-step-059,10,ready
toughness,Toughness,Obrona,yes,zuko-step-006|zuko-step-020|zuko-step-026|zuko-step-065,3|4,ready
trade,Trade,Wymiana stworzeń,yes,zuko-step-020|zuko-step-030,11,ready
trample,Trample,Tratowanie,yes,zuko-step-062|zuko-step-063,13,ready
triggered-ability,Triggered ability,Zdolność wyzwalana,yes,zuko-step-029|zuko-step-034|zuko-step-039|zuko-step-047|zuko-step-054,9,ready
turn,Turn,Tura,yes,zuko-step-008|zuko-step-012|zuko-step-013|zuko-step-017|zuko-step-027,7,ready
type-line,Type line,Linia typu,yes,zuko-step-006,3,ready
unblocked,Unblocked,Niezablokowane,yes,zuko-step-016|zuko-step-025|zuko-step-036|zuko-step-045|zuko-step-058,8,ready
untap,Untap,Odtapowanie,yes,zuko-step-007|zuko-step-013|zuko-step-018|zuko-step-019|zuko-step-021|zuko-step-028|zuko-step-037|zuko-step-046|zuko-step-053|zuko-step-060|zuko-step-065,5|7,ready
untap-step,Untap step,Krok odtapowania,no,,7,ready
until-end-of-turn,Until end of turn,Do końca tury,yes,zuko-step-039|zuko-step-040|zuko-step-041,8,ready
upkeep-step,Upkeep step,Krok utrzymania,no,,7,ready
vigilance,Vigilance,Czujność,yes,zuko-step-035|zuko-step-052|zuko-step-057,13,ready
waterbend,Waterbend,Technika wody,no,,13,ready
win-condition,Win condition,Warunek zwycięstwa,no,,5|7,ready
x-cost,X,Wartość X,no,,13,ready
